gene;value
TSPAN6;1816
TNMD;2
DPM1;2881
SCYL3;762
C1orf112;729
FGR;144
CFH;1118
FUCA2;1436
GCLC;1020
NFYA;704
STPG1;535
NIPAL3;1647
LAS1L;1999
ENPP4;439
SEMA3F;3510
CFTR;56
ANKIB1;2820
CYP51A1;66
KRIT1;320
RAD52;518
MYH16;17
BAD;1483
LAP3;3178
CD99;5597
CD99;0
HS3ST1;202
AOC1;454
WNT16;0
HECW1;109
MAD1L1;14
LASP1;13955
SNX11;887
TMEM176A;4346
M6PR;2073
KLHL13;40
CYP26B1;23
ICA1;456
DBNDD1;983
ALS2;485
CASP10;337
CFLAR;1171
TFPI;158
NDUFAF7;774
RBM5;2095
MTMR7;161
SLC7A2;641
ARF5;4599
SARM1;1534
POLDIP2;3124
PLXND1;4537
AK2;7807
CD38;28
FKBP4;7375
KDM1A;5147
RBM6;1364
CAMKK1;136
RECQL;1527
VPS50;710
HSPB6;613
ARHGAP33;1045
NDUFAB1;1874
PDK4;418
SLC22A16;5
ZMYND10;153
ABCB5;1
ARX;2
SLC25A13;1989
ST7;679
CDC27;1542
SLC4A1;6
CALCR;10
HCCS;1402
DVL2;1217
PRSS22;385
UPF1;5676
SKAP2;475
SLC25A5;18901
MCUB;702
HOXA11;1
POLR2J;3028
DHX33;614
MEOX1;1014
THSD7A;43
LIG3;1650
RPAP3;963
ACSM3;381
REXO5;605
CIAPIN1;1624
SPPL2B;1663
FAM214B;425
COPZ2;374
PRKAR2B;931
MSL3;990
CREBBP;4258
TSPOAP1;560
MPO;122
PON1;111
GCFC2;645
WDR54;855
CROT;269
ABCB4;70
KMT2E;3028
RHBDD2;7171
SOX8;5
IBTK;2239
ZNF195;755
MYCBP2;1809
FBXL3;2650
ITGAL;397
PDK2;2818
ITGA3;16618
ZFX;1107
LAMP2;6976
ITGA2B;50
ASB4;3
GDE1;4046
REX1BD;856
CRLF1;467
OSBPL7;695
TMEM98;1807
YBX2;115
KRT33A;4
MAP3K14;478
ABCC8;0
CACNG3;0
TMEM132A;5775
AP2B1;6521
TAC1;1
ZNF263;663
CX3CL1;409
SPATA20;1750
CACNA1G;81
TNFRSF12A;1638
DLX6;17
MAP3K9;483
RALA;2361
BAIAP2L1;3953
KDM7A;852
ETV1;770
AGK;1437
ALDH3B1;3048
TTC22;911
PHTF2;1065
CCL26;10
FARP2;1298
USH1C;3
GGCT;1012
DBF4;818
TBXA2R;102
IFRD1;139
LGALS14;56
COX10;692
GTF2IRD1;2363
PAF1;2966
VPS41;1781
ARHGAP44;467
ELAC2;1910
SCIN;143
ARSD;1926
PNPLA4;1048
MYH13;7
ADIPOR2;2005
CDKL3;14
UPP2;9
PRSS21;15
MARK4;1188
PROM1;514
CCDC124;3383
CEACAM21;47
PAFAH1B1;3130
NOS2;27
DNAH9;13
KIAA0100;5259
SLC13A2;2
GAS7;1093
TRAPPC6A;883
MATK;93
CEACAM7;1
CD79B;11
SCN4A;6
ST7L;398
TKTL1;1
PAX6;89
RPUSD1;1805
RHBDF1;747
LUC7L;709
CACNA2D2;230
BAIAP3;567
TSR3;1386
PIGQ;864
CRAMP1;446
TEAD3;2235
SELE;10
DNAJC11;4040
FMO3;20
MYLIP;1368
NOX1;26
E2F2;514
PSMB1;4304
SYN1;205
JARID2;659
CDKL5;446
CAMK1G;41
CDK11A;34
NADK;2300
TFAP2B;1
TFAP2D;0
DLEC1;756
CYTH3;1202
ADAM22;179
SYPL1;5815
CYB561;2430
SPAG9;1788
CELSR3;414
AASS;110
PLEKHG6;254
SS18L2;592
MPND;378
MGST1;482
CRY1;810
PGLYRP1;1
NFIX;12615
ST3GAL1;7014
MMP25;81
IL32;3259
PKD1;1973
MAPK8IP2;1965
MED24;2775
RHOBTB2;954
HEATR5B;1299
SEC62;4691
RPS20;36933
CSDE1;10321
UBE3C;7544
REV3L;291
TENM1;19
PAX7;0
MASP2;33
IYD;1
FAM76A;572
TRAF3IP3;153
POMT2;889
VTA1;1513
MLXIPL;176
BAZ1B;4165
RANBP9;3001
ETV7;92
SPRTN;505
EEF1AKNMT;1801
DYRK4;666
ZNF207;4305
UQCRC1;11872
STARD3NL;1045
CD9;31077
HHATL;1
NCAPD2;8643
IFFO1;272
GIPR;7
PHF7;163
SEMA3G;89
NISCH;3577
STAB1;3634
FUZ;1049
SLC6A13;6
IDS;325
PRSS3;8
ZNF200;248
CD4;2532
LRRC23;336
BTK;222
HFE;210
SCMH1;1649
FYN;1083
HIVEP2;2757
FMO1;416
ELOA;1970
LYPLA2;3107
CLCN6;923
MRC2;7020
NME1-NME2;0
SLC6A7;5
TSPAN9;2941
BTBD7;1316
APBA3;660
MKS1;576
ABHD5;666
ANOS1;637
AKAP8L;2012
MBTD1;1028
UTP18;1338
RNF216;1366
TTC19;1216
PTBP1;11788
DPF1;67
SYT7;1290
LARS2;924
PIK3C2A;1919
PLAUR;1437
ANLN;1646
WIZ;4161
RABGAP1;2507
DCN;13599
QPCTL;303
PPP5C;2619
CEP68;1583
MAP4K3;1579
ZBTB32;13
TYROBP;2743
TMEM159;442
GABRA3;3
BRCA1;72
ERCC1;2457
CD22;132
SEMA3B;4388
MBTPS2;1580
PRICKLE3;2017
LTF;116
EXTL3;2084
NR1H4;0
ELOVL5;3162
ALOX5;682
KDM5D;0
CALCOCO1;3321
UBR7;1569
MAP4K5;931
EHD3;991
PSMC4;7290
MAN2B2;2535
SLC7A14;6
CLDN11;346
SLC25A39;10453
MVP;3335
NUB1;5192
PGM3;1871
RWDD2A;704
CLK1;677
POLR3B;420
ANGEL1;2108
RNF14;1260
DNASE1L1;1115
DDX11;1020
HEBP1;1279
GPRC5A;2498
MAMLD1;484
CD6;150
TACC3;4321
UFL1;1219
POLA2;145
ZC3H3;4776
CAPN1;16185
ACP3;223
MDH1;5202
SLC30A9;3361
MTMR11;360
COX15;1282
CCDC88C;1461
YAF2;621
ZMYND11;2696
WAS;437
DPEP1;50
BID;4698
MATR3;27
NPC1L1;16
XYLT2;1345
RGPD5;2
STMN4;4
NUDCD3;4323
ISL1;31
CHDH;366
IL20RA;434
CLCA1;0
CLCA4;1
GLT8D1;1875
ATP2C1;3715
IGF1;878
SLC38A5;235
RALBP1;4494
RUFY3;245
CNTN1;557
SLC11A1;323
WWTR1;5500
AGPS;1599
ZNF806;2
CXorf56;827
ATP1A2;11
TTC27;946
ZNF582;54
VSIG2;24
PHLDB1;2406
MARCO;197
CYP24A1;26
PRDM11;385
SYT13;956
SNAI2;1166
CD74;125732
HGF;98
ZRANB1;1905
NCDN;1653
ADGRA2;1700
CCT8L1P;1
ZFP64;1325
MNAT1;368
SAMD4A;505
RUNX3;396
MRE11;740
PLEKHB1;2762
SERPINB1;3948
CYP3A43;2
SLC7A9;14
SPAST;1249
NRXN3;69
OSBPL5;631
AQR;1351
CPS1;29
C8B;0
FHL1;1169
RTF2;3692
GABRA1;0
NLRP2;2854
SLC45A4;4200
RNF10;5555
ZNF839;693
ZDHHC6;1732
GRAMD1B;373
RNH1;2815
NDUFS1;2692
RB1CC1;1644
ERP44;4701
ALAS1;2464
BIRC3;122
AKAP11;1501
GLRX2;948
SNAPC1;135
DERA;1227
STRAP;4437
ABCC2;11
DEF6;340
PLEKHO1;1579
GCLM;495
UBR2;1385
EHD2;3712
DEPDC1;514
CCDC28A;366
RRAGD;759
HSF2;328
PHF20;2229
HSD17B6;173
NR1H3;926
TYMP;1203
NCAPH2;2186
TOMM34;5357
SEC63;1635
KPNA6;4454
VIM;35866
RTEL1-TNFRSF6B;63
FAS;638
RNASET2;1024
CD44;2235
KCNG1;150
AGPAT4;174
SLAMF7;111
BTN3A1;664
MIPEP;991
PRKCH;478
INSRR;7
IFNGR1;1961
B4GALT7;542
SH2D2A;121
VRK2;597
TNFRSF1B;665
VEZT;1386
POU2F2;342
BRD9;1246
SNX1;3409
TBPL1;433
ARNTL2;395
BCLAF1;2677
SLC39A9;3139
ANK1;18
IBSP;104
TFB1M;241
RABEP1;1020
HMGB3;2970
NUP160;1753
BAK1;2641
MUSK;2
IKZF2;306
GRN;16418
FAM13B;871
ARHGAP31;826
CENPQ;269
SARS1;3213
RANBP3;2647
ARID4A;498
EIPR1;1329
PNPLA6;3453
IFT88;384
ALG1;764
ZCCHC8;925
ABCF2;1461
CHPF2;3649
LRRC7;28
FUT8;847
UBA6;820
GAB2;3963
ATP6V0A1;1619
PIAS1;2345
SLC4A7;839
APBA2;642
MAP2K3;1860
EFCAB1;24
TMSB10;35187
ASTE1;532
RNF19A;3286
PEX3;308
GABARAPL2;1856
MYOC;0
SH3YL1;2434
FAM136A;2703
VCL;9970
DEPDC1B;374
DAPK2;820
NSMAF;888
ADSS2;1505
STAP1;8
TIMP2;19811
RFC1;1613
TBC1D23;1110
CUL3;3081
MYOM2;14
