symbol;value
TSPAN6;269
TNMD;24
DPM1;372
SCYL3;754
C1orf112;367
FGR;85
CFH;920
FUCA2;478
GCLC;547
NFYA;627
STPG1;231
NIPAL3;1112
LAS1L;643
ENPP4;176
SEMA3F;1097
CFTR;2
ANKIB1;830
CYP51A1;17
KRIT1;55
RAD52;124
MYH16;0
BAD;231
LAP3;1805
CD99;2639
CD99;0
HS3ST1;33
AOC1;4
WNT16;2
HECW1;5
MAD1L1;1
LASP1;9590
SNX11;341
TMEM176A;197
M6PR;1387
KLHL13;29
CYP26B1;182
ICA1;1520
DBNDD1;175
ALS2;551
CASP10;103
CFLAR;1771
TFPI;321
NDUFAF7;222
RBM5;1667
MTMR7;82
SLC7A2;194
ARF5;373
SARM1;352
POLDIP2;1670
PLXND1;2334
AK2;2303
CD38;10
FKBP4;1813
KDM1A;1309
RBM6;1005
CAMKK1;184
RECQL;981
VPS50;311
HSPB6;1103
ARHGAP33;79
NDUFAB1;677
PDK4;3277
SLC22A16;2
ZMYND10;175
ABCB5;4
ARX;13
SLC25A13;182
ST7;219
CDC27;1308
SLC4A1;1
CALCR;0
HCCS;258
DVL2;239
PRSS22;211
UPF1;1812
SKAP2;497
SLC25A5;1769
MCUB;314
HOXA11;17
POLR2J;135
DHX33;264
MEOX1;73
THSD7A;90
LIG3;657
RPAP3;561
ACSM3;178
REXO5;62
CIAPIN1;407
SPPL2B;305
FAM214B;299
COPZ2;322
PRKAR2B;1186
MSL3;408
CREBBP;2428
TSPOAP1;91
MPO;0
PON1;4
GCFC2;503
WDR54;129
CROT;1441
ABCB4;21
KMT2E;1105
RHBDD2;1106
SOX8;6
IBTK;1084
ZNF195;568
MYCBP2;1998
FBXL3;2678
ITGAL;135
PDK2;756
ITGA3;957
ZFX;1019
LAMP2;2547
ITGA2B;2
ASB4;5
GDE1;2849
REX1BD;75
CRLF1;64
OSBPL7;135
TMEM98;394
YBX2;23
KRT33A;1
MAP3K14;199
ABCC8;340
CACNG3;0
TMEM132A;750
AP2B1;3030
TAC1;1
ZNF263;1266
CX3CL1;285
SPATA20;434
CACNA1G;42
TNFRSF12A;495
DLX6;1
MAP3K9;259
RALA;1091
BAIAP2L1;292
KDM7A;374
ETV1;148
AGK;280
ALDH3B1;48
TTC22;96
PHTF2;458
CCL26;1
FARP2;678
USH1C;5
GGCT;481
DBF4;124
TBXA2R;31
IFRD1;74
LGALS14;6
COX10;197
GTF2IRD1;294
PAF1;1058
VPS41;913
ARHGAP44;71
ELAC2;665
SCIN;17
ARSD;2564
PNPLA4;596
MYH13;21
ADIPOR2;3949
CDKL3;12
UPP2;6
PRSS21;0
MARK4;683
PROM1;31
CCDC124;288
CEACAM21;7
PAFAH1B1;2403
NOS2;18
DNAH9;33
KIAA0100;3221
SLC13A2;2
GAS7;1380
TRAPPC6A;167
MATK;16
CEACAM7;12
CD79B;19
SCN4A;108
ST7L;312
TKTL1;0
PAX6;33
RPUSD1;237
RHBDF1;800
LUC7L;601
CACNA2D2;228
BAIAP3;164
TSR3;350
PIGQ;765
CRAMP1;519
TEAD3;543
SELE;194
DNAJC11;602
FMO3;29
MYLIP;536
NOX1;11
E2F2;14
PSMB1;1149
SYN1;8
JARID2;621
CDKL5;646
CAMK1G;0
CDK11A;2
NADK;632
TFAP2B;2806
TFAP2D;0
DLEC1;524
CYTH3;800
ADAM22;113
SYPL1;1747
CYB561;2241
SPAG9;1435
CELSR3;429
AASS;427
PLEKHG6;128
SS18L2;251
MPND;188
MGST1;4979
CRY1;451
PGLYRP1;2
NFIX;2098
ST3GAL1;1611
MMP25;21
IL32;162
PKD1;925
MAPK8IP2;326
MED24;787
RHOBTB2;509
HEATR5B;924
SEC62;3813
RPS20;6719
CSDE1;11310
UBE3C;1139
REV3L;610
TENM1;20
PAX7;1
MASP2;27
IYD;17
FAM76A;244
TRAF3IP3;93
POMT2;399
VTA1;574
MLXIPL;178
BAZ1B;1312
RANBP9;1087
ETV7;18
SPRTN;214
EEF1AKNMT;543
DYRK4;213
ZNF207;1516
UQCRC1;1619
STARD3NL;328
CD9;7498
HHATL;0
NCAPD2;734
IFFO1;126
GIPR;45
PHF7;64
SEMA3G;647
NISCH;1418
STAB1;461
FUZ;187
SLC6A13;2
IDS;57
