symbol;value
TSPAN6;1101
TNMD;7
DPM1;727
SCYL3;571
C1orf112;298
FGR;559
CFH;1057
FUCA2;2686
GCLC;1308
NFYA;726
STPG1;384
NIPAL3;1852
LAS1L;1078
ENPP4;1466
SEMA3F;2954
CFTR;26
ANKIB1;2817
CYP51A1;53
KRIT1;187
RAD52;256
MYH16;5
BAD;970
LAP3;10564
CD99;3186
CD99;0
HS3ST1;379
AOC1;22796
WNT16;3
HECW1;7
MAD1L1;14
LASP1;7995
SNX11;968
TMEM176A;27558
M6PR;3962
KLHL13;381
CYP26B1;144
ICA1;216
DBNDD1;505
ALS2;803
CASP10;1109
CFLAR;5907
TFPI;6222
NDUFAF7;382
RBM5;1337
MTMR7;203
SLC7A2;443
ARF5;2230
SARM1;2213
POLDIP2;3506
PLXND1;4606
AK2;5341
CD38;930
FKBP4;3241
KDM1A;1412
RBM6;946
CAMKK1;258
RECQL;1905
VPS50;1003
HSPB6;99
ARHGAP33;218
NDUFAB1;1458
PDK4;108715
SLC22A16;2
ZMYND10;33
ABCB5;0
ARX;0
SLC25A13;1625
ST7;1003
CDC27;2182
SLC4A1;17
CALCR;763
HCCS;673
DVL2;793
PRSS22;0
UPF1;2172
SKAP2;3439
SLC25A5;6343
MCUB;610
HOXA11;16
POLR2J;619
DHX33;578
MEOX1;35
THSD7A;620
LIG3;968
RPAP3;649
ACSM3;972
REXO5;139
CIAPIN1;1115
SPPL2B;605
FAM214B;527
COPZ2;91
PRKAR2B;144
MSL3;876
CREBBP;2917
TSPOAP1;317
MPO;2
PON1;3
GCFC2;977
WDR54;938
CROT;559
ABCB4;370
KMT2E;3548
RHBDD2;2042
SOX8;8
IBTK;2595
ZNF195;771
MYCBP2;2982
FBXL3;3559
ITGAL;3586
PDK2;2693
ITGA3;7144
ZFX;887
LAMP2;7942
ITGA2B;5
ASB4;4
GDE1;1807
REX1BD;603
CRLF1;171
OSBPL7;221
TMEM98;403
YBX2;67
KRT33A;0
MAP3K14;2119
ABCC8;4
CACNG3;0
TMEM132A;358
AP2B1;7987
TAC1;0
ZNF263;1109
CX3CL1;6103
SPATA20;1880
CACNA1G;0
TNFRSF12A;1242
DLX6;4
MAP3K9;84
RALA;1806
BAIAP2L1;118
KDM7A;1800
ETV1;472
AGK;806
ALDH3B1;1336
TTC22;655
PHTF2;1149
CCL26;0
FARP2;960
USH1C;5297
GGCT;192
DBF4;307
TBXA2R;163
IFRD1;188
LGALS14;0
COX10;373
GTF2IRD1;773
PAF1;1703
VPS41;2441
ARHGAP44;164
ELAC2;1688
SCIN;402
ARSD;2365
PNPLA4;629
MYH13;0
ADIPOR2;2045
CDKL3;17
UPP2;9
PRSS21;3
MARK4;905
PROM1;17
CCDC124;949
CEACAM21;160
PAFAH1B1;4177
NOS2;91
DNAH9;11
KIAA0100;6666
SLC13A2;4
GAS7;1231
TRAPPC6A;520
MATK;149
CEACAM7;0
CD79B;94
SCN4A;295
ST7L;295
TKTL1;4
PAX6;89
RPUSD1;475
RHBDF1;178
LUC7L;510
CACNA2D2;83
BAIAP3;432
TSR3;1029
PIGQ;678
CRAMP1;279
TEAD3;277
SELE;83
DNAJC11;1384
FMO3;230
MYLIP;1467
NOX1;22
E2F2;95
PSMB1;4521
SYN1;26
JARID2;530
CDKL5;677
CAMK1G;30
CDK11A;11
NADK;1339
TFAP2B;1
TFAP2D;0
DLEC1;530
CYTH3;728
ADAM22;1246
SYPL1;4681
CYB561;1270
SPAG9;5386
CELSR3;30
AASS;736
PLEKHG6;57
SS18L2;267
MPND;580
MGST1;2631
CRY1;704
PGLYRP1;3
NFIX;2474
ST3GAL1;2269
MMP25;198
IL32;7086
PKD1;1092
MAPK8IP2;7
MED24;1583
RHOBTB2;836
HEATR5B;1370
SEC62;5055
RPS20;19542
CSDE1;19256
UBE3C;2855
REV3L;1046
TENM1;584
PAX7;0
MASP2;55
IYD;35
FAM76A;452
TRAF3IP3;839
POMT2;617
VTA1;1281
MLXIPL;647
BAZ1B;3637
RANBP9;1228
ETV7;1187
SPRTN;371
EEF1AKNMT;904
DYRK4;373
ZNF207;2923
UQCRC1;2880
STARD3NL;2396
CD9;3518
HHATL;3
NCAPD2;1467
IFFO1;564
GIPR;23
PHF7;115
SEMA3G;675
NISCH;1390
STAB1;2226
FUZ;768
SLC6A13;4046
IDS;392
PRSS3;2
ZNF200;280
CD4;6455
LRRC23;504
BTK;676
HFE;815
SCMH1;1555
FYN;1702
HIVEP2;1567
FMO1;1174
ELOA;1565
LYPLA2;1375
CLCN6;866
MRC2;1106
NME1-NME2;0
SLC6A7;1
TSPAN9;4783
BTBD7;1563
APBA3;602
MKS1;318
ABHD5;386
ANOS1;502
AKAP8L;824
MBTD1;595
UTP18;1238
RNF216;1903
TTC19;1716
PTBP1;5823
DPF1;1
SYT7;9
LARS2;483
PIK3C2A;2752
PLAUR;302
ANLN;409
WIZ;1074
RABGAP1;1523
DCN;506
QPCTL;241
PPP5C;1339
CEP68;1129
MAP4K3;923
ZBTB32;31
TYROBP;4544
TMEM159;1799
GABRA3;0
BRCA1;275
ERCC1;1860
CD22;224
SEMA3B;145
MBTPS2;829
PRICKLE3;480
LTF;192
EXTL3;1076
NR1H4;1235
ELOVL5;2871
ALOX5;585
KDM5D;461
CALCOCO1;2099
UBR7;1459
MAP4K5;1313
EHD3;1460
PSMC4;1966
MAN2B2;2224
SLC7A14;0
CLDN11;18
SLC25A39;2473
MVP;5719
NUB1;4161
PGM3;1468
RWDD2A;414
CLK1;1985
POLR3B;267
ANGEL1;820
RNF14;2305
DNASE1L1;1524
DDX11;336
HEBP1;968
GPRC5A;12
MAMLD1;168
CD6;417
TACC3;576
UFL1;1757
POLA2;55
ZC3H3;540
CAPN1;3541
ACP3;17
MDH1;3545
SLC30A9;2642
MTMR11;1271
COX15;1271
CCDC88C;1127
YAF2;447
ZMYND11;2450
WAS;863
DPEP1;956
BID;739
MATR3;64
NPC1L1;7
XYLT2;1216
RGPD5;0
STMN4;1
