symbol;value
TSPAN6;872
TNMD;204
DPM1;544
SCYL3;365
C1orf112;179
FGR;232
CFH;2295
FUCA2;734
GCLC;1391
NFYA;367
STPG1;180
NIPAL3;349
LAS1L;630
ENPP4;551
SEMA3F;520
CFTR;7
ANKIB1;837
CYP51A1;43
KRIT1;128
RAD52;160
MYH16;0
BAD;529
LAP3;1836
CD99;3817
CD99;0
HS3ST1;54
AOC1;0
WNT16;1
HECW1;2
MAD1L1;5
LASP1;4499
SNX11;398
TMEM176A;263
M6PR;1042
KLHL13;63
CYP26B1;2159
ICA1;595
DBNDD1;16
ALS2;432
CASP10;209
CFLAR;3767
TFPI;1221
NDUFAF7;319
RBM5;1636
MTMR7;143
SLC7A2;675
ARF5;1079
SARM1;418
POLDIP2;2556
PLXND1;4165
AK2;3245
CD38;24
FKBP4;1182
KDM1A;1060
RBM6;1414
CAMKK1;90
RECQL;867
VPS50;337
HSPB6;17616
ARHGAP33;83
NDUFAB1;888
PDK4;50096
SLC22A16;4
ZMYND10;9
ABCB5;23
ARX;0
SLC25A13;275
ST7;321
CDC27;1151
SLC4A1;2
CALCR;0
HCCS;313
DVL2;471
PRSS22;1
UPF1;2214
SKAP2;986
SLC25A5;4608
MCUB;195
HOXA11;25
POLR2J;499
DHX33;283
MEOX1;811
THSD7A;228
LIG3;363
RPAP3;293
ACSM3;102
REXO5;84
CIAPIN1;482
SPPL2B;407
FAM214B;533
COPZ2;643
PRKAR2B;12386
MSL3;337
CREBBP;2142
TSPOAP1;97
MPO;3
PON1;1
GCFC2;531
WDR54;73
CROT;134
ABCB4;14
KMT2E;1520
RHBDD2;671
SOX8;12
IBTK;918
ZNF195;305
MYCBP2;4727
FBXL3;2228
ITGAL;82
PDK2;4805
ITGA3;485
ZFX;909
LAMP2;1987
ITGA2B;11
ASB4;6
GDE1;1375
REX1BD;320
CRLF1;137
OSBPL7;99
TMEM98;266
YBX2;224
KRT33A;0
MAP3K14;201
ABCC8;6
CACNG3;0
TMEM132A;99
AP2B1;3463
TAC1;0
ZNF263;577
CX3CL1;1215
SPATA20;463
CACNA1G;6
TNFRSF12A;42
DLX6;1
MAP3K9;46
RALA;1193
BAIAP2L1;108
KDM7A;732
ETV1;59
AGK;320
ALDH3B1;133
TTC22;3
PHTF2;268
CCL26;9
FARP2;412
USH1C;0
GGCT;1219
DBF4;77
TBXA2R;76
IFRD1;340
LGALS14;0
COX10;388
GTF2IRD1;326
PAF1;1103
VPS41;864
ARHGAP44;93
ELAC2;1243
SCIN;26
ARSD;1274
PNPLA4;579
MYH13;1
ADIPOR2;4540
CDKL3;0
UPP2;3
PRSS21;3
MARK4;647
PROM1;5
CCDC124;909
CEACAM21;6
PAFAH1B1;2450
NOS2;7
DNAH9;289
KIAA0100;3559
SLC13A2;2
GAS7;1199
TRAPPC6A;279
MATK;17
CEACAM7;0
CD79B;62
SCN4A;969
ST7L;279
TKTL1;4
PAX6;49
RPUSD1;169
RHBDF1;327
LUC7L;538
CACNA2D2;35
BAIAP3;420
TSR3;873
PIGQ;440
CRAMP1;349
TEAD3;212
SELE;85
DNAJC11;850
FMO3;179
MYLIP;903
NOX1;7
E2F2;4
PSMB1;2765
SYN1;26
JARID2;318
CDKL5;296
CAMK1G;0
CDK11A;16
NADK;2015
TFAP2B;12
TFAP2D;0
DLEC1;561
CYTH3;1531
ADAM22;53
SYPL1;2620
CYB561;803
SPAG9;2630
CELSR3;27
AASS;2191
PLEKHG6;999
SS18L2;289
MPND;296
MGST1;12815
CRY1;271
PGLYRP1;2
NFIX;4405
ST3GAL1;2302
MMP25;39
IL32;228
PKD1;2811
MAPK8IP2;197
MED24;803
RHOBTB2;605
HEATR5B;1162
SEC62;3363
RPS20;40873
CSDE1;19001
UBE3C;1528
REV3L;1184
TENM1;70
PAX7;0
MASP2;27
IYD;0
FAM76A;364
TRAF3IP3;42
POMT2;464
VTA1;652
MLXIPL;4432
BAZ1B;2005
RANBP9;1535
ETV7;5
SPRTN;122
EEF1AKNMT;593
DYRK4;156
