symbol;value
TSPAN6;0
TNMD;1
DPM1;1
SCYL3;57
C1orf112;104
FGR;0
CFH;0
FUCA2;7
GCLC;3
NFYA;6
STPG1;53
NIPAL3;3
LAS1L;23
ENPP4;0
SEMA3F;3
CFTR;9
ANKIB1;6
CYP51A1;1
KRIT1;18
RAD52;23
MYH16;10
BAD;15
LAP3;4
CD99;4
CD99;0
HS3ST1;10
AOC1;6
WNT16;8
HECW1;3
MAD1L1;1
LASP1;4
SNX11;16
TMEM176A;54
M6PR;25
KLHL13;0
CYP26B1;0
ICA1;4
DBNDD1;7
ALS2;1
CASP10;3
CFLAR;42
TFPI;49
NDUFAF7;95
RBM5;7
MTMR7;188
SLC7A2;0
ARF5;0
SARM1;680
POLDIP2;177
PLXND1;6
AK2;5
CD38;0
FKBP4;41
KDM1A;69
RBM6;5
CAMKK1;0
RECQL;237
VPS50;0
HSPB6;1
ARHGAP33;2
NDUFAB1;1
PDK4;51
SLC22A16;1
ZMYND10;5
ABCB5;0
ARX;0
SLC25A13;0
ST7;8
CDC27;11
SLC4A1;1
CALCR;3
HCCS;3
DVL2;4
PRSS22;0
UPF1;1
SKAP2;2
SLC25A5;4
MCUB;13
HOXA11;0
POLR2J;7
DHX33;0
MEOX1;0
THSD7A;3
LIG3;158
RPAP3;1
ACSM3;120
REXO5;10
CIAPIN1;1
SPPL2B;0
FAM214B;0
COPZ2;1
PRKAR2B;1
MSL3;0
CREBBP;0
TSPOAP1;2
MPO;0
PON1;3
GCFC2;147
WDR54;23
CROT;7
ABCB4;4
KMT2E;62
RHBDD2;0
SOX8;0
IBTK;3
ZNF195;0
MYCBP2;29
FBXL3;1282
ITGAL;4
PDK2;45
ITGA3;10
ZFX;0
LAMP2;0
ITGA2B;0
ASB4;0
GDE1;2
REX1BD;0
CRLF1;104
OSBPL7;3
TMEM98;0
YBX2;0
KRT33A;0
MAP3K14;6
ABCC8;2
CACNG3;0
TMEM132A;84
AP2B1;37
TAC1;0
ZNF263;211
CX3CL1;0
SPATA20;0
CACNA1G;1
TNFRSF12A;0
DLX6;0
MAP3K9;1
RALA;1
BAIAP2L1;61
KDM7A;5
ETV1;0
AGK;110
ALDH3B1;7
TTC22;1
PHTF2;2
CCL26;0
FARP2;53
USH1C;1
GGCT;0
DBF4;25
TBXA2R;0
IFRD1;1
LGALS14;0
COX10;0
GTF2IRD1;0
PAF1;22
VPS41;5
ARHGAP44;14
ELAC2;6
SCIN;3
ARSD;2
PNPLA4;0
MYH13;0
ADIPOR2;7
CDKL3;0
UPP2;7
PRSS21;0
MARK4;0
PROM1;2
CCDC124;7
CEACAM21;1
PAFAH1B1;3
NOS2;2
DNAH9;6
KIAA0100;0
SLC13A2;0
GAS7;1
TRAPPC6A;0
MATK;0
CEACAM7;0
CD79B;0
SCN4A;0
ST7L;64
TKTL1;0
PAX6;102
RPUSD1;0
RHBDF1;0
LUC7L;1
CACNA2D2;46
BAIAP3;175
TSR3;2
PIGQ;2
CRAMP1;0
TEAD3;5
SELE;2
DNAJC11;10
FMO3;16
MYLIP;0
NOX1;10
E2F2;0
PSMB1;0
SYN1;14
JARID2;16
CDKL5;2
CAMK1G;0
CDK11A;0
NADK;2
TFAP2B;0
TFAP2D;0
DLEC1;447
CYTH3;7
ADAM22;51
SYPL1;0
CYB561;0
SPAG9;4
CELSR3;4
AASS;1
PLEKHG6;25
SS18L2;35
MPND;26
MGST1;3
CRY1;0
PGLYRP1;4
NFIX;3
ST3GAL1;9
MMP25;58
IL32;0
PKD1;6
MAPK8IP2;0
MED24;0
RHOBTB2;127
HEATR5B;0
SEC62;29
RPS20;9
CSDE1;13
UBE3C;5
REV3L;139
TENM1;18
PAX7;0
MASP2;43
IYD;0
FAM76A;0
TRAF3IP3;46
POMT2;1
VTA1;1
MLXIPL;0
BAZ1B;17
RANBP9;63
ETV7;1
SPRTN;214
EEF1AKNMT;0
DYRK4;6
ZNF207;1
UQCRC1;0
STARD3NL;2
CD9;8
HHATL;0
NCAPD2;81
IFFO1;1
GIPR;0
PHF7;0
SEMA3G;0
NISCH;0
STAB1;48
FUZ;53
SLC6A13;4
IDS;0
PRSS3;0
ZNF200;1
CD4;0
LRRC23;1
BTK;0
HFE;2
SCMH1;5
FYN;4
HIVEP2;5
FMO1;4
ELOA;65
LYPLA2;2
CLCN6;0
MRC2;0
NME1-NME2;0
SLC6A7;1
TSPAN9;1
BTBD7;2
APBA3;0
MKS1;0
ABHD5;3
ANOS1;0
AKAP8L;3
MBTD1;10
UTP18;22
RNF216;3
TTC19;80
PTBP1;1
DPF1;0
SYT7;0
LARS2;1
PIK3C2A;7
PLAUR;0
ANLN;0
WIZ;0
RABGAP1;1
DCN;1
QPCTL;0
PPP5C;23
CEP68;160
MAP4K3;0
ZBTB32;33
TYROBP;2
TMEM159;0
GABRA3;0
BRCA1;0
ERCC1;162
CD22;0
SEMA3B;0
MBTPS2;0
PRICKLE3;89
LTF;0
EXTL3;2
NR1H4;0
ELOVL5;5
ALOX5;1
KDM5D;0
CALCOCO1;0
UBR7;0
MAP4K5;4
EHD3;10
PSMC4;9
MAN2B2;32
SLC7A14;2
CLDN11;1
SLC25A39;0
MVP;10
NUB1;6
PGM3;169
RWDD2A;5
CLK1;6
POLR3B;0
ANGEL1;0
RNF14;3
DNASE1L1;12
DDX11;0
HEBP1;13
GPRC5A;0
MAMLD1;0
CD6;13
TACC3;8
UFL1;4
POLA2;0
ZC3H3;0
CAPN1;20
ACP3;1
MDH1;6
SLC30A9;0
MTMR11;3
COX15;43
CCDC88C;0
YAF2;0
ZMYND11;22
WAS;2
DPEP1;0
BID;70
MATR3;0
NPC1L1;0
XYLT2;27
RGPD5;0
STMN4;0
NUDCD3;3
ISL1;0
CHDH;60
IL20RA;0
CLCA1;0
CLCA4;0
GLT8D1;43
ATP2C1;33
IGF1;8
SLC38A5;0
RALBP1;10
RUFY3;8
CNTN1;1
SLC11A1;2
WWTR1;14
AGPS;34
ZNF806;1
CXorf56;0
ATP1A2;0
TTC27;0
ZNF582;5
VSIG2;3
PHLDB1;9
MARCO;0
CYP24A1;0
PRDM11;0
SYT13;0
SNAI2;0
CD74;128
HGF;3
ZRANB1;132
NCDN;4
ADGRA2;236
