symbol;value
TSPAN6;1897
TNMD;4
DPM1;837
SCYL3;455
C1orf112;300
FGR;532
CFH;5118
FUCA2;2852
GCLC;1001
NFYA;998
STPG1;342
NIPAL3;2330
LAS1L;1206
ENPP4;1083
SEMA3F;6001
CFTR;51
ANKIB1;2178
CYP51A1;36
KRIT1;265
RAD52;443
MYH16;7
BAD;1554
LAP3;3035
CD99;6959
CD99;0
HS3ST1;293
AOC1;49
WNT16;6
HECW1;19
MAD1L1;32
LASP1;10623
SNX11;796
TMEM176A;14218
M6PR;4072
KLHL13;181
CYP26B1;524
ICA1;339
DBNDD1;259
ALS2;901
CASP10;1109
CFLAR;5659
TFPI;6394
NDUFAF7;541
RBM5;2057
MTMR7;382
SLC7A2;927
ARF5;3247
SARM1;2407
POLDIP2;4564
PLXND1;10417
AK2;5447
CD38;196
FKBP4;4426
KDM1A;1710
RBM6;2143
CAMKK1;530
RECQL;2000
VPS50;701
HSPB6;157
ARHGAP33;423
NDUFAB1;1283
PDK4;1337
SLC22A16;4
ZMYND10;230
ABCB5;6
ARX;7
SLC25A13;1285
ST7;1188
CDC27;2129
SLC4A1;0
CALCR;20
HCCS;493
DVL2;841
PRSS22;4
UPF1;2267
SKAP2;3412
SLC25A5;3858
MCUB;375
HOXA11;61
POLR2J;1473
DHX33;797
MEOX1;19
THSD7A;897
LIG3;1081
RPAP3;620
ACSM3;928
REXO5;98
CIAPIN1;1311
SPPL2B;1747
FAM214B;919
COPZ2;1113
PRKAR2B;322
MSL3;976
CREBBP;3004
TSPOAP1;742
MPO;4
PON1;1
GCFC2;726
WDR54;868
CROT;525
ABCB4;74
KMT2E;4268
RHBDD2;2496
SOX8;9
IBTK;1915
ZNF195;893
MYCBP2;1720
FBXL3;3272
ITGAL;1568
PDK2;2487
ITGA3;12790
ZFX;1108
LAMP2;7846
ITGA2B;151
ASB4;1
GDE1;1729
REX1BD;574
CRLF1;266
OSBPL7;381
TMEM98;741
YBX2;166
KRT33A;0
MAP3K14;1252
ABCC8;0
CACNG3;0
TMEM132A;1418
AP2B1;7135
TAC1;1
ZNF263;1150
CX3CL1;4977
SPATA20;3341
CACNA1G;5
TNFRSF12A;3548
DLX6;30
MAP3K9;118
RALA;1841
BAIAP2L1;782
KDM7A;986
ETV1;558
AGK;1688
ALDH3B1;1247
TTC22;699
PHTF2;1110
CCL26;4
FARP2;801
USH1C;3944
GGCT;374
DBF4;246
TBXA2R;420
IFRD1;293
LGALS14;0
COX10;405
GTF2IRD1;862
PAF1;2223
VPS41;2815
ARHGAP44;488
ELAC2;1742
SCIN;951
ARSD;1860
PNPLA4;561
MYH13;2
ADIPOR2;2836
CDKL3;16
UPP2;10
PRSS21;3
MARK4;1105
PROM1;1741
CCDC124;1827
CEACAM21;53
PAFAH1B1;5358
NOS2;45
DNAH9;99
KIAA0100;6402
SLC13A2;3
GAS7;784
TRAPPC6A;422
MATK;162
CEACAM7;0
CD79B;49
SCN4A;123
ST7L;435
TKTL1;7
PAX6;217
RPUSD1;579
RHBDF1;954
LUC7L;1275
CACNA2D2;76
BAIAP3;619
TSR3;1196
PIGQ;1247
CRAMP1;613
TEAD3;578
SELE;42
DNAJC11;2416
FMO3;584
MYLIP;2420
NOX1;17
E2F2;55
PSMB1;4763
SYN1;51
JARID2;777
CDKL5;868
CAMK1G;75
CDK11A;20
NADK;1483
TFAP2B;1
TFAP2D;0
DLEC1;659
CYTH3;1014
ADAM22;1294
SYPL1;4263
CYB561;2525
SPAG9;3968
CELSR3;153
AASS;711
PLEKHG6;392
SS18L2;317
MPND;827
MGST1;8434
CRY1;439
PGLYRP1;2
NFIX;2293
ST3GAL1;1910
MMP25;154
IL32;8869
PKD1;2146
MAPK8IP2;38
MED24;2121
RHOBTB2;1318
HEATR5B;1191
SEC62;5097
RPS20;34244
CSDE1;14164
UBE3C;3027
REV3L;1008
TENM1;974
PAX7;1
MASP2;176
IYD;16
FAM76A;432
TRAF3IP3;592
POMT2;571
VTA1;1068
MLXIPL;252
BAZ1B;3438
RANBP9;1272
ETV7;408
SPRTN;374
EEF1AKNMT;929
DYRK4;553
ZNF207;3522
UQCRC1;3279
STARD3NL;2475
CD9;6817
HHATL;10
NCAPD2;1886
IFFO1;1262
GIPR;51
PHF7;110
SEMA3G;394
NISCH;1972
STAB1;4853
FUZ;1040
SLC6A13;2431
IDS;253
PRSS3;2
ZNF200;340
CD4;4811
LRRC23;954
BTK;434
HFE;1033
SCMH1;2567
FYN;2806
HIVEP2;2000
FMO1;851
ELOA;1817
LYPLA2;1842
CLCN6;742
MRC2;1762
NME1-NME2;0
SLC6A7;4
TSPAN9;7939
BTBD7;1549
APBA3;527
MKS1;589
ABHD5;416
ANOS1;405
AKAP8L;1428
MBTD1;839
UTP18;705
RNF216;2064
TTC19;1659
PTBP1;6937
DPF1;12
SYT7;14
LARS2;432
PIK3C2A;2084
