symbol;value
TSPAN6;0
TNMD;11
DPM1;33
SCYL3;631
C1orf112;425
FGR;19
CFH;1
FUCA2;77
GCLC;12
NFYA;11
STPG1;118
NIPAL3;3
LAS1L;11
ENPP4;22
SEMA3F;8
CFTR;3
ANKIB1;9
CYP51A1;12
KRIT1;84
RAD52;653
MYH16;130
BAD;38
LAP3;14
CD99;8
CD99;0
HS3ST1;10
AOC1;0
WNT16;44
HECW1;18
MAD1L1;3
LASP1;11
SNX11;5
TMEM176A;0
M6PR;89
KLHL13;4
CYP26B1;2
ICA1;72
DBNDD1;25
ALS2;3
CASP10;1
CFLAR;212
TFPI;113
NDUFAF7;642
RBM5;8
MTMR7;624
SLC7A2;1
ARF5;2
SARM1;2851
POLDIP2;674
PLXND1;12
AK2;11
CD38;1
FKBP4;147
KDM1A;357
RBM6;22
CAMKK1;8
RECQL;372
VPS50;1
HSPB6;40
ARHGAP33;2
NDUFAB1;9
PDK4;0
SLC22A16;0
ZMYND10;2
ABCB5;1
ARX;1
SLC25A13;10
ST7;5
CDC27;195
SLC4A1;2
CALCR;1
HCCS;6
DVL2;93
PRSS22;5
UPF1;9
SKAP2;15
SLC25A5;15
MCUB;144
HOXA11;3
POLR2J;99
DHX33;4
MEOX1;0
THSD7A;10
LIG3;288
RPAP3;2
ACSM3;210
REXO5;51
CIAPIN1;0
SPPL2B;1
FAM214B;28
COPZ2;8
PRKAR2B;8
MSL3;2
CREBBP;21
TSPOAP1;9
MPO;0
PON1;20
GCFC2;980
WDR54;469
CROT;0
ABCB4;34
KMT2E;1042
RHBDD2;1
SOX8;1
IBTK;4
ZNF195;5
MYCBP2;21
FBXL3;1006
ITGAL;173
PDK2;13
ITGA3;46
ZFX;2
LAMP2;13
ITGA2B;6
ASB4;0
GDE1;125
REX1BD;12
CRLF1;493
OSBPL7;0
TMEM98;0
YBX2;12
KRT33A;0
MAP3K14;123
ABCC8;2
CACNG3;1
TMEM132A;24
AP2B1;50
TAC1;1
ZNF263;813
CX3CL1;8
SPATA20;0
CACNA1G;3
TNFRSF12A;31
DLX6;16
MAP3K9;20
RALA;1
BAIAP2L1;189
KDM7A;7
ETV1;6
AGK;486
ALDH3B1;125
TTC22;10
PHTF2;1
CCL26;0
FARP2;223
USH1C;2
GGCT;6
DBF4;82
TBXA2R;2
IFRD1;4
LGALS14;0
COX10;0
GTF2IRD1;4
PAF1;138
VPS41;5
ARHGAP44;158
ELAC2;23
SCIN;3
ARSD;36
PNPLA4;401
