symbol;value
TSPAN6;752
TNMD;15
DPM1;747
SCYL3;436
C1orf112;236
FGR;272
CFH;2952
FUCA2;1586
GCLC;542
NFYA;504
STPG1;97
NIPAL3;672
LAS1L;585
ENPP4;758
SEMA3F;728
CFTR;11
ANKIB1;1113
CYP51A1;2
KRIT1;159
RAD52;200
MYH16;14
BAD;1034
LAP3;1208
CD99;2117
CD99;0
HS3ST1;341
AOC1;54854
WNT16;3
HECW1;46
MAD1L1;2
LASP1;6629
SNX11;354
TMEM176A;26491
M6PR;1531
KLHL13;102
CYP26B1;41
ICA1;113
DBNDD1;374
ALS2;548
CASP10;330
CFLAR;4790
TFPI;326
NDUFAF7;300
RBM5;892
MTMR7;207
SLC7A2;445
ARF5;986
SARM1;1910
POLDIP2;3179
PLXND1;2022
AK2;4754
CD38;69
FKBP4;2340
KDM1A;866
RBM6;1232
CAMKK1;153
RECQL;898
VPS50;314
HSPB6;398
ARHGAP33;289
NDUFAB1;1155
PDK4;2416
SLC22A16;3
ZMYND10;110
ABCB5;1
ARX;24
SLC25A13;571
ST7;441
CDC27;718
SLC4A1;15
CALCR;7
HCCS;283
DVL2;538
PRSS22;11
UPF1;1561
SKAP2;351
SLC25A5;3020
MCUB;235
HOXA11;20
POLR2J;694
DHX33;278
MEOX1;14
THSD7A;57
LIG3;683
RPAP3;418
ACSM3;802
REXO5;38
CIAPIN1;648
SPPL2B;1252
FAM214B;568
COPZ2;410
PRKAR2B;114
MSL3;300
CREBBP;1903
TSPOAP1;461
MPO;8
PON1;1
GCFC2;408
WDR54;359
CROT;134
ABCB4;101
KMT2E;1219
RHBDD2;1183
SOX8;12
IBTK;1429
ZNF195;570
MYCBP2;405
FBXL3;917
ITGAL;982
PDK2;2218
ITGA3;2716
ZFX;621
LAMP2;3700
ITGA2B;11
ASB4;12
GDE1;968
REX1BD;414
CRLF1;159
OSBPL7;288
TMEM98;1325
YBX2;81
KRT33A;0
MAP3K14;981
ABCC8;8
CACNG3;0
TMEM132A;362
AP2B1;2195
TAC1;58
ZNF263;1228
CX3CL1;2923
SPATA20;2811
CACNA1G;3
TNFRSF12A;2829
DLX6;6
MAP3K9;30
RALA;523
BAIAP2L1;360
KDM7A;262
ETV1;40
AGK;839
ALDH3B1;1612
TTC22;791
PHTF2;349
CCL26;7
FARP2;372
USH1C;4049
GGCT;179
DBF4;94
TBXA2R;59
IFRD1;166
LGALS14;0
COX10;263
GTF2IRD1;520
PAF1;1188
VPS41;670
ARHGAP44;219
ELAC2;1336
SCIN;46
ARSD;1421
PNPLA4;476
MYH13;7
ADIPOR2;1608
CDKL3;9
UPP2;412
PRSS21;2
MARK4;574
PROM1;34
CCDC124;584
CEACAM21;36
PAFAH1B1;1660
NOS2;29
DNAH9;26
KIAA0100;2902
SLC13A2;364
GAS7;100
TRAPPC6A;216
MATK;190
CEACAM7;2
CD79B;31
SCN4A;11
ST7L;266
TKTL1;2
PAX6;22
RPUSD1;419
RHBDF1;560
LUC7L;1055
CACNA2D2;43
BAIAP3;543
TSR3;1276
PIGQ;996
CRAMP1;229
TEAD3;510
SELE;61
DNAJC11;994
FMO3;182
MYLIP;591
NOX1;30
E2F2;32
PSMB1;2949
SYN1;41
JARID2;261
CDKL5;124
CAMK1G;53
CDK11A;34
NADK;748
TFAP2B;1
TFAP2D;2
DLEC1;1338
CYTH3;421
ADAM22;77
SYPL1;1597
CYB561;1328
SPAG9;1493
CELSR3;37
AASS;332
PLEKHG6;626
SS18L2;142
MPND;486
MGST1;18407
CRY1;250
PGLYRP1;0
NFIX;679
ST3GAL1;2261
MMP25;82
IL32;9182
PKD1;1305
MAPK8IP2;21
MED24;1070
RHOBTB2;740
HEATR5B;496
SEC62;5159
RPS20;31721
CSDE1;6721
UBE3C;819
REV3L;343
TENM1;74
PAX7;0
MASP2;78
IYD;128
FAM76A;168
TRAF3IP3;364
POMT2;338
VTA1;747
MLXIPL;2903
BAZ1B;930
RANBP9;709
ETV7;215
SPRTN;168
EEF1AKNMT;477
DYRK4;455
ZNF207;2213
UQCRC1;1955
STARD3NL;645
CD9;2121
HHATL;21
NCAPD2;802
IFFO1;690
GIPR;21
PHF7;45
SEMA3G;35
NISCH;1014
STAB1;1642
FUZ;844
SLC6A13;4392
IDS;119
PRSS3;252
ZNF200;170
CD4;1019
LRRC23;408
BTK;125
HFE;509
