symbol;value;
TSPAN6;1;
TNMD;28;
DPM1;12;
SCYL3;108;
C1orf112;270;
FGR;0;
CFH;3;
FUCA2;75;
GCLC;7;
NFYA;9;
STPG1;120;
NIPAL3;10;
LAS1L;67;
ENPP4;9;
SEMA3F;12;
CFTR;39;
ANKIB1;22;
CYP51A1;3;
KRIT1;76;
RAD52;81;
MYH16;56;
BAD;26;
LAP3;11;
CD99;6;
CD99;0;
HS3ST1;40;
AOC1;60;
WNT16;11;
HECW1;13;
MAD1L1;3;
LASP1;13;
SNX11;24;
TMEM176A;45;
M6PR;61;
KLHL13;7;
CYP26B1;0;
ICA1;28;
DBNDD1;45;
ALS2;4;
CASP10;4;
CFLAR;61;
TFPI;110;
NDUFAF7;181;
RBM5;22;
MTMR7;285;
SLC7A2;1;
ARF5;5;
SARM1;1331;
POLDIP2;196;
PLXND1;12;
AK2;27;
CD38;0;
FKBP4;228;
KDM1A;288;
RBM6;26;
CAMKK1;2;
RECQL;178;
VPS50;3;
HSPB6;6;
ARHGAP33;4;
NDUFAB1;11;
PDK4;15;
SLC22A16;4;
ZMYND10;7;
ABCB5;0;
ARX;0;
SLC25A13;5;
ST7;11;
CDC27;2;
SLC4A1;12;
CALCR;1;
HCCS;9;
DVL2;4;
PRSS22;1;
UPF1;9;
SKAP2;7;
SLC25A5;6;
MCUB;47;
HOXA11;3;
POLR2J;25;
DHX33;3;
MEOX1;1;
THSD7A;39;
LIG3;408;
RPAP3;0;
ACSM3;128;
REXO5;34;
CIAPIN1;1;
SPPL2B;2;
FAM214B;7;
COPZ2;4;
PRKAR2B;4;
MSL3;2;
CREBBP;18;
TSPOAP1;64;
MPO;1;
PON1;22;
GCFC2;491;
WDR54;147;
CROT;4;
ABCB4;31;
KMT2E;372;
RHBDD2;4;
SOX8;1;
IBTK;5;
ZNF195;27;
MYCBP2;59;
FBXL3;1689;
ITGAL;87;
PDK2;54;
ITGA3;16;
ZFX;9;
LAMP2;6;
ITGA2B;3;
ASB4;0;
GDE1;11;
REX1BD;5;
CRLF1;78;
OSBPL7;1;
TMEM98;3;
YBX2;9;
KRT33A;0;
MAP3K14;32;
ABCC8;0;
CACNG3;0;
TMEM132A;54;
AP2B1;45;
TAC1;1;
ZNF263;289;
CX3CL1;7;
SPATA20;3;
CACNA1G;0;
TNFRSF12A;1;
DLX6;0;
MAP3K9;3;
RALA;0;
BAIAP2L1;257;
KDM7A;2;
ETV1;2;
AGK;597;
ALDH3B1;32;
TTC22;3;
PHTF2;1;
CCL26;1;
FARP2;269;
USH1C;17;
GGCT;0;
DBF4;56;
TBXA2R;3;
IFRD1;15;
LGALS14;0;
COX10;6;
GTF2IRD1;2;
PAF1;100;
VPS41;9;
ARHGAP44;73;
ELAC2;15;
SCIN;19;
ARSD;18;
PNPLA4;31;
MYH13;1;
ADIPOR2;1;
CDKL3;0;
UPP2;181;
PRSS21;0;
MARK4;3;
PROM1;6;
CCDC124;3;
CEACAM21;1;
PAFAH1B1;20;
NOS2;0;
DNAH9;23;
KIAA0100;115;
SLC13A2;7;
GAS7;1;
TRAPPC6A;1;
MATK;0;
CEACAM7;0;
CD79B;1;
SCN4A;1;
ST7L;238;
TKTL1;2;
PAX6;125;
RPUSD1;1;
RHBDF1;9;
LUC7L;7;
CACNA2D2;159;
BAIAP3;281;
TSR3;29;
PIGQ;6;
CRAMP1;1;
TEAD3;9;
SELE;0;
DNAJC11;52;
FMO3;28;
MYLIP;1;
NOX1;13;
E2F2;1;
PSMB1;0;
SYN1;72;
JARID2;58;
CDKL5;8;
CAMK1G;2;
CDK11A;0;
NADK;17;
TFAP2B;5;
TFAP2D;0;
DLEC1;3081;
CYTH3;10;
ADAM22;70;
SYPL1;4;
CYB561;26;
SPAG9;21;
CELSR3;39;
AASS;6;
PLEKHG6;63;
SS18L2;110;
MPND;58;
MGST1;13;
CRY1;0;
PGLYRP1;16;
NFIX;7;
ST3GAL1;17;
MMP25;102;
IL32;6;
PKD1;29;
MAPK8IP2;2;
MED24;2;
RHOBTB2;182;
HEATR5B;4;
SEC62;38;
RPS20;8;
